name,genre,artist,youtube,year,difficulty
Désert,French pop,Emilie Simon,https://www.youtube.com/embed/V0nnqvZitM0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Bad Meets Evil - The Reunion,Rap music,Eminem,https://www.youtube.com/embed/jfpIOnJXp6E?si=OPccD2iTzB0APDMn,0,1
Sweet Dreams,Electro house,Eurythmics,https://www.youtube.com/embed/p9j8RGTqju0?list=PLtXmrrHfQMI4wBTqATUCJUVUPa2GJGTW1,0,1
My Immortal,Gothic rock,Evanescence,https://www.youtube.com/embed/5anLPw0Efmo?si=j45HXoX_BsD3sJpR&amp,0,1
Yodelice,Pop rock,Familiar Fire,https://www.youtube.com/embed/ikDeNLDE2-M?si=DvPCarErytQTpOKp&amp,0,1
What's Luv,Rhythm and blues,Fat Joe,https://www.youtube.com/embed/VpvyG2NrS1Y?si=OnxI6smazi3tiyqr&amp,0,1
Big Girls Don't Cry,Pop rock,Fergie,https://www.youtube.com/embed/SvAQAeLa-jY?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Bandana,Afrobeat,"Fireboy DML, Asake",https://www.youtube.com/embed/gCLUIzOsgGg?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Peru,Afrobeat,"Fireboy DML, Ed Sheeran",https://www.youtube.com/embed/pekzpzNCNDQ?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Time to Party,Afrobeat,Flavour ft. Diamond Platnumz,https://www.youtube.com/embed/BFUxr_dkqxw?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
In The Party,Rap music,Flo Milli,https://www.youtube.com/embed/cqM0PAJaAxA?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Home,Electropop,Foxes,https://www.youtube.com/embed/tQ-pVU6SEkI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Patek Water,Rap music,Future & Young Thug ft. Offset,https://www.youtube.com/embed/tT5TDmiAY78?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Stanky Legg,Rap music,GS Boyz,https://www.youtube.com/embed/ewufRwrayTI?si=LKiz1SL_peoZ1oQA&amp,0,1
La guerre de 14-18,French pop,Georges Brassens,https://www.youtube.com/embed/l2F5qaHzkj0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Época,Europop,Gotan Project,https://www.youtube.com/embed/Jc7Lt5FLRiA?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Idk Why,Rap music,Gunna,https://www.youtube.com/embed/nqxXeJen7S4?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Sold Out Dates,Rap music,Gunna ft. Lil Baby,https://www.youtube.com/embed/wp6oQlb--Ks?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Ca m'énerve,Techno,Helmut Fritz,https://www.youtube.com/embed/4mNDYWhRSaw?si=wEevrtqYp8EMJh95,0,1
Foreigner,Pop rock,I Want to know what love is,https://www.youtube.com/embed/loWXMtjUZWM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Menak wla meni,Arab pop,Inez,https://www.youtube.com/embed/ofgYA_H1dZU,0,1
Olandi,Afrobeat,Innoss'B,https://www.youtube.com/embed/QLu6yW56ALg?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Yope,Afrobeat,Innoss'B ft. Diamond Platnumz,https://www.youtube.com/embed/ebZ7Ng1okCg?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Life Round Here,Electropop,James Blake,https://www.youtube.com/embed/SlOmdyH_7Os?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Sex Machine,Soul,James Brown,https://www.youtube.com/embed/JOD-M7WZkZQ?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Mr Big Stuff,American folk revival,Jean Knight,https://www.youtube.com/embed/9f4CyQto-0E?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Crush,Traditional pop music,Jennifer Paige,https://www.youtube.com/embed/EIhSnaqou0I?si=WpCKS_CRkgAEamCC&amp,0,1
I Did,Rhythm and blues,Jeremih,https://www.youtube.com/embed/Xt2fZdgvD6s?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Down On Me,Rhythm and blues,Jeremih,https://www.youtube.com/embed/AaXaig_43lU?si=eIQlWBLSWMwEv9rp,0,1
Hands,Pop rock,Jewel,https://www.youtube.com/embed/AfsS3pIDBfw?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Blink,Electro house,John Dahlback,https://www.youtube.com/embed/Bc99R-wKXGY?si=lZENqnJPoAJA9Jde&amp,0,1
Personal jesus,Blues rock,Johnny cash,https://www.youtube.com/embed/jQcNiD0Z3MU?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
La Camisa Negra,Soft rock,Juanes,https://www.youtube.com/embed/kRt2sRyup6A?si=wltz-f-Lu_dO7Vrn,0,1
Lottery,Rap music,K Camp,https://www.youtube.com/embed/gF8rsUYENgc?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Mwaka Moon,Rap music,Kalash ft. Damso,https://www.youtube.com/embed/UPnMFUsKm8w?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Lambada,Pop rock,Kaoma,https://www.youtube.com/embed/iyLdoQGBchQ?si=O1vjkROULVW7f972,0,1
Ice Me Out,Rap music,Kash Doll,https://www.youtube.com/embed/6Rj2IABk0eI?si=yhfUSWt4_wIUSr8D,0,1
Crazy (Cover),Indie pop,Katie Noonan,https://www.youtube.com/embed/yOeelyS8LKs?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
I Kissed A Girl,Pop rock,Katy Perry,https://www.youtube.com/embed/tAp9BKosZXs?si=Mmh6JFoIgGTh8gP-&amp,0,1
TiK ToK,Electropop,Ke$ha,https://www.youtube.com/embed/iP6XpLQM2Cs?si=33aOealhlSmaHx-A&amp;controls=0&amp,0,1
Trick Me,Rhythm and blues,Kelis,https://www.youtube.com/embed/zI339U6GS9s?si=vYEEaHwPyaldWPBT&amp,0,1
Bomba,Pop rock,King africa,https://www.youtube.com/embed/QlPS16NeBO0?si=1iYdf_iWqVnUD9CD,0,1
Guedro,Rap music,Koba LaD,https://www.youtube.com/embed/diH1xNRyZ_o?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Free Cool Pt. 2,Rap music,Kodak Black,https://www.youtube.com/embed/kwG1TazvD48?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Get Down On It,Funk,Kool & The Gang,https://www.youtube.com/embed/qchPLaiKocI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Do Like That,Afrobeat,Korede Bello,https://www.youtube.com/embed/hJBi780qFas?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
He Say She Say,Rap music,Latto,https://www.youtube.com/embed/mFxAfsg-3r4?si=5mwJQ2MCzRfjg4HE,0,1
Bleeding Love,Pop rock,Leona Lewis,https://www.youtube.com/embed/Vzo-EL_62fQ?si=07kMz-pldWYeS1F8&amp,0,1
Corinne Bailey Rae,Indie folk,Like a star,https://www.youtube.com/embed/JRfKFJRNMDk?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Freestyle,Freestyle rap,Lil Baby,https://www.youtube.com/embed/MHryuYVyHhk?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Get Low,Rap music,"Lil Jon & The East Side Boyz ft. Busta Rhymes, Elephant Man",https://www.youtube.com/embed/8cG0rYIwPzQ?si=osuE36hYp8KZJX-0&amp;controls=0&amp,0,1
6locc 6a6y,Rap music,Lil Loaded,https://www.youtube.com/embed/H3c0F3oGZ4I?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Futsal Shuffle,Rap music,Lil Uzi Vert,https://www.youtube.com/embed/nwE_BsjBSUw?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
SaintLaurentYSL,Rap music,Lil Yachty,https://www.youtube.com/embed/YBlaiLwQGQA?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
