name,spotify_id,genre,spotify_avatar
Mesparrow,5ai4H4duxTBym6XsFjuGlD,,https://i.scdn.co/image/ab6761610000e5eb2ed28965bff7cd75a373c153
Metro Boomin,,,
Migos,,,
Migos,,,
Mika,5MmVJVhhYKQ86izuGHzJYA,,https://i.scdn.co/image/ab6761610000e5ebc5adcd7630c57d002cc5a645
Milky Chance,1hzfo8twXdOegF3xireCYs,,https://i.scdn.co/image/ab6761610000e5eb44692946203bdd94759116e3
Milow,6mo0UbyIvIePdXNyLwQlk5,,https://i.scdn.co/image/ab6761610000e5ebd8167838eeea4e8cddfcc045
Mis,,,
Missy Elliott,,,
Missy Elliott,,,
Moriarty,3iTsJGG39nMg9YiolUgLMQ,,https://i.scdn.co/image/75416e947bf832f9181500e2da9ebd5feed53d93
Moriarty Meets Mama Rosin,3gXj2P4t2wkBTjvJ8s64BE,,https://i.scdn.co/image/ab6761610000e5ebe905fd9e24019bc418c1e396
Mory Kanté,,,
Mr Eazi,,,
Mr Eazi,,,
Mungo Jerry,2mbvqMGpwLsakeH45p1Jrb,,https://i.scdn.co/image/ab6761610000e5eb63d7307f5e3c9f7538af6877
My American Heart,40ahTPmIE9WQOOTutV1dwc,,https://i.scdn.co/image/ab6761610000e5eb54bc48d8b533fbe67a406679
Mya,,,
Mya,,,
NLE Choppa,,,
Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,,https://i.scdn.co/image/ab6761610000e5eb2e023776b822635846e1f5f1
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,,https://i.scdn.co/image/ab6761610000e5eb15f48264917c2b09a573ecc7
Natasha St-Pier,1miK7RIscxXIgQgHQ0G7ch,,https://i.scdn.co/image/ab6761610000e5ebcd55923ff87894189b6884aa
Nelly Furtado,,,
Nelly Furtado,,,
Neneh Cherry,,,
Nolwenn Leroy,6suRVbMTiFWlTpB6fdLdF2,,https://i.scdn.co/image/ab6761610000e5eb08a61d1e3eea5c114fcc8304
Nomads,6aUKy2LG1OU6KhYOZADolN,,https://i.scdn.co/image/ab6761610000e5eb7a0ae37f224490ad5440b281
Oasis,2DaxqgrOhkeH0fpeiQq2f4,,https://i.scdn.co/image/ab6761610000e5eb0522e98a6f0cf1ddbee9a74f
Offset,,,
Offset,,,
Offset,,,
Olivia Ruiz,12OSqKGORygb2C6H36qKuj,,https://i.scdn.co/image/ab6761610000e5eb1901412c66270f5b3109d656
Os Banah,,,
Otis Redding,60df5JBRRPcnSpsIMxxwQm,,https://i.scdn.co/image/a5897eff01844c42d894a586e618ebc4aa0b9d2f
Ouais Chery,0xrkjwFe3CIbYHTpMRi7ED,,https://i.scdn.co/image/ab6761610000e5eb12c94b2ea0bb617531714497
Outlandish,5tqMW5dSAlvh0GvgD3XfDy,,https://i.scdn.co/image/ab6761610000e5eb228dedcb9ba0116a58bfdce4
Owl City,07QEuhtrNmmZ0zEcqE9SF6,,https://i.scdn.co/image/ab6761610000e5ebce3fbd73ae4f8b3ff54a0a5c
P Square,,,
P!nk,,,
P!nk,,,
Passenger,0gadJ2b9A4SKsB1RFkBb66,,https://i.scdn.co/image/ab6761610000e5eb3eb6f55c271d954cc871954f
Pat Boone,7fmKtIgmxqNEKjATioVNsu,,https://i.scdn.co/image/ab6761610000e5eb1d6bec189c1ca27f6ce699dc
Patience & Prudence,4F78tRprgxpEnopKTTWXor,,https://i.scdn.co/image/ab67616d0000b2735f71ec43b302d6fad5688f1b
Pep's,6dvyAgidTbcn9vJO1eWQ6y,,https://i.scdn.co/image/562cf9d4dea2bf0dcbfb7c47aca15abbbdbce860
Peter Bjorn And John,6u11Qbko2N2hP4lTBYjX86,,https://i.scdn.co/image/ab6761610000e5eb9cc950721c840af3679622f3
Petey Pablo,,,
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,,https://i.scdn.co/image/ab6761610000e5ebd4e38c4e3e5c82774740e28d
Portishead,6liAMWkVf5LH7YR9yfFy1Y,,https://i.scdn.co/image/27802710b01453435de93d71bab2c9988a841ace
Prokofiev,,,
Quality Control,,,
Quavo,,,
Quavo,,,
Quavo,,,
Quavo,,,
Queens Of The Stone Age,4pejUc4iciQfgdX6OKulQn,,https://i.scdn.co/image/ab6761610000e5eb909b2c4b7c768ee03445cd10
Radical Face,5EM6xJN2QNk0cL7EEm9HR9,,https://i.scdn.co/image/ab6761610000e5eb525cf67298ee623539c1b8bf
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,,https://i.scdn.co/image/ab6761610000e5eb6fc460f10177fa38af69b8bf
Rayvanny,,,
Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,,https://i.scdn.co/image/ab6761610000e5eba36a9f95d59ab791d5e897e9
Rema,,,
Renan Luce,7f2jQ928ZRehCJrGGHN46J,,https://i.scdn.co/image/ab6761610000e5ebbbf5b5346dcf909179957b4b
Rick Astley,0gxyHStUsqpMadRV0Di1Qt,,https://i.scdn.co/image/ab6761610000e5eb019782a5d4654e00db2a28a0
Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,,https://i.scdn.co/image/3c0b0278e7cc5a8f062f7797993e099683b10e1e
Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,,https://i.scdn.co/image/e97b7cd22945863ebc926c5c8e4e92bd2b8698d9
Rihanna,,,
Rilo Kiley,2cevwbv7ISD92VMNLYLHZA,,https://i.scdn.co/image/2b56ef4b6f2093ebb46b18cbb4c0fccb9f27b2e2
Rita Hayworth,24u2lWQYyTWB7VUTnwEavi,,https://i.scdn.co/image/ab67616d0000b27346d4cdd08ab5c14b2f71f3e1
Roméo Elvis,,,
Roxette,,,
Rudeboy,,,
SAODAJ',,,
SCH,,,
SEFYU,,,
SEVDALIZA,5MraexJKZDrQYzS98kNwie,,https://i.scdn.co/image/ab6761610000e5eb62ee96f535c8939e42bb68d7
SEXY SUSHI,6yNXUzxIakMVY5LoVgZGHG,,https://i.scdn.co/image/ab6761610000e5eb3649e4fb8d618d1baa1f7bb5
SNAP!,,,
SWV,,,
Sade,,,
SahBabii,,,
Salt-N-Pepa,,,
Sandra Dee & Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,,https://i.scdn.co/image/0145d946866cb2205bba2f17ab445e290eb1ec4c
Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,,https://i.scdn.co/image/ab6761610000e5eb0bae7cfd3b32b10154e0b8b3
Sarah Blasko,75jU2q0uEWzSIlqRJtedJV,,https://i.scdn.co/image/ab6761610000e5eb1a1dc351a9cf6837c55d20f0
Sarkodie,,,
Sean P,,,
Shakira,,,
Shakira,,,
Shalala lala,2njkfzRhOJFKLWFTu8FNWx,,https://i.scdn.co/image/ab6761610000e5eb1173fe0d523590d3ff1ea3b1
Shanel Hill,,,
Shania Twain,5e4Dhzv426EvQe3aDb64jL,,https://i.scdn.co/image/ab6761610000e5eb01022f4092cb96e0a91811a5
Shanice,,,
Sheryl Crow,,,
Sho Madjozi,,,
Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,,https://i.scdn.co/image/ab6761610000e5eb973ffafbef7825fdaa2ae5c5
Skepta,,,
Ski Mask The Slump God,,,
Skiibii,,,
Slim Thug,,,
Snoop Dogg,,,
Snoop dogg,,,
Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE,,https://i.scdn.co/image/ab6761610000e5eb78ac16f5d194c15658e80fce
Southside,,,
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,,https://i.scdn.co/image/ab6761610000e5eb2e91ffbba84e8e94bafbc6d7
Spotless,,,
Stacy,,,
StarBoy,,,
