id,name,spotify_id,genre,spotify_avatar
165,Hooverphonic,5EP020iZcwBqHRnJftibXX,,https://i.scdn.co/image/ab6761610000e5eb1f66a237db39260155162f93
166,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,,https://i.scdn.co/image/ab6761610000e5eb7ed0386d30b59531eddd34ba
167,Inez,2sGGaKKex7GgNlH1DRXZSa,,https://i.scdn.co/image/ab6761610000e5ebde82d4278b2c3223bb4c63b2
168,Innoss'B,1nLQWXXs7ZauI4SC6rUFPV,,https://i.scdn.co/image/ab6761610000e5ebf6649911e14b5c431098f744
169,Inside Llewyn Davis OST,5qEtLvXzYdv0G7c7rR6irX,,https://i.scdn.co/image/ab67616d0000b27359a6022f671f929b9979011d
170,Jabberwocky,7AVxhrWi3oA5Setg6vvAoT,,https://i.scdn.co/image/ab6761610000e5eb7ee6b5a8687801d515ae3909
171,Jain,2HHmvvSQ44ePDH7IKVzgK0,,https://i.scdn.co/image/ab6761610000e5eb887264fafa6634019ce9bd11
172,Jamelia,3f5W9NEwkc1SAIPFuumcaf,Rhythm and blues,https://i.scdn.co/image/ab67616d0000b273ac27b4f5d1ad74f433274cd5
173,James Bay,4EzkuveR9pLvDVFNx6foYD,,https://i.scdn.co/image/ab6761610000e5eb58d57084e75247d33ce25eaf
174,James Blake,53KwLdlmrlCelAZMaLVZqU,,https://i.scdn.co/image/ab6761610000e5eb93fe5fc8fdb5a98248911a07
175,James Brown,7GaxyUddsPok8BuhxN6OUW,,https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5
437,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebbe81fceb268078b7cecabaf5
176,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,,https://i.scdn.co/image/ab6761610000e5ebc3b370fc26c83312db52af14
177,Jay-Z,3nFkdlSjzX9mRTtwJOzDYB,,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4
178,Jean Knight,2Tk0pWxTuQgnE5nsUexrLr,,https://i.scdn.co/image/ab67616d0000b2735b221b78b425f3f4b45188d2
179,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,,https://i.scdn.co/image/ab6761610000e5ebdc125248f01efbffd4efaaf4
180,Jennifer Paige,26PDtWYDJ1KD0brukKsJH1,,https://i.scdn.co/image/ab6761610000e5eb6cb06b64535283ceab01d414
181,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb8ddeab89a67542470e2631c8
429,Jermaine Dupri,6nfYGe7IIuuP5bMY1jkJP6,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb5b35a576c4e67e75bdc2fa68
182,Jewel,6FbDoZnMBTdhhhLuJBOOqP,,https://i.scdn.co/image/ab6761610000e5eb75a955fe415fd460bf1bf0f2
423,Jiva Phez'kombhede,1D86M7ewUQH1vS0QsXCmI9,"('2 Tone', '2 Tone')",https://i.scdn.co/image/ab6761610000e5eb4a6f3766a23e91536d7ee6ed
183,Joan Osborne,0djV4iaxhNfYWpH60ia85o,,https://i.scdn.co/image/ab6761610000e5ebe521dfff71ae1299e3a02e26
184,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88
185,John Dahlback,15xvsJMf8phaNa1LYvL9Qv,,https://i.scdn.co/image/ab6761610000e5ebe324c01d3fb6b2b5af61f271
