name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Migos,Migos,,2008,6oMuImdp5ZcFhWP0ESe6mG,Rap music,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34,https://fr.wikipedia.org/wiki/Migos,1
Milky Chance,Milky Chance,,2012,1hzfo8twXdOegF3xireCYs,nan,https://i.scdn.co/image/ab6761610000e5eb44692946203bdd94759116e3,https://fr.wikipedia.org/wiki/Milky_Chance,1
Mis-Teeq,Mis-Teeq,,2000,6csA2rxNLkQJXeEa7lyGXn,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb01604c583eee95123e61098c,https://fr.wikipedia.org/wiki/Mis-Teeq,1
Moriarty,Moriarty,,1995,3iTsJGG39nMg9YiolUgLMQ,Folk pop,https://i.scdn.co/image/75416e947bf832f9181500e2da9ebd5feed53d93,https://fr.wikipedia.org/wiki/Moriarty_(groupe),1
Mungo Jerry,Mungo Jerry,,1970,2mbvqMGpwLsakeH45p1Jrb,nan,https://i.scdn.co/image/ab6761610000e5eb63d7307f5e3c9f7538af6877,https://fr.wikipedia.org/wiki/Mungo_Jerry,1
My American Heart,My American Heart,,2002,40ahTPmIE9WQOOTutV1dwc,nan,https://i.scdn.co/image/ab6761610000e5eb54bc48d8b533fbe67a406679,,1
Noisettes,Noisettes,,,6oX4tx055oEFYM3ahDTyOD,Blues rock,https://i.scdn.co/image/ab6761610000e5eb3ea35ec319a721cd1017c9ab,https://fr.wikipedia.org/wiki/Noisettes,1
Oasis,Oasis,,1991,2DaxqgrOhkeH0fpeiQq2f4,nan,https://i.scdn.co/image/ab6761610000e5eb0522e98a6f0cf1ddbee9a74f,https://fr.wikipedia.org/wiki/Oasis_(groupe),1
Outlandish,Outlandish,,1997,5tqMW5dSAlvh0GvgD3XfDy,nan,https://i.scdn.co/image/ab6761610000e5eb228dedcb9ba0116a58bfdce4,https://fr.wikipedia.org/wiki/Outlandish,1
P Square,P Square,,2003,42IUN9kTPdUdI1kre6L7Wk,nan,https://i.scdn.co/image/ab6761610000e5eb7c6b34713eca70196726378f,https://fr.wikipedia.org/wiki/P-Square,1
Patience & Prudence,Patience & Prudence,,1955,4F78tRprgxpEnopKTTWXor,nan,https://i.scdn.co/image/ab67616d0000b2735f71ec43b302d6fad5688f1b,,1
Pep's,Pep's,,,6dvyAgidTbcn9vJO1eWQ6y,Folk pop,https://i.scdn.co/image/562cf9d4dea2bf0dcbfb7c47aca15abbbdbce860,https://fr.wikipedia.org/wiki/Pep%27s_(musicien),1
Peter Bjorn And John,Peter Bjorn And John,,1999,6u11Qbko2N2hP4lTBYjX86,nan,https://i.scdn.co/image/ab6761610000e5eb9cc950721c840af3679622f3,https://fr.wikipedia.org/wiki/Peter_Bjorn_and_John,1
