id,artist,name,genre,artist_name,featured_artists,youtube_id,year,difficulty
210,176,I'm Yours,Folk pop,Jason Mraz,,EkHTsc9PU2A,2008,1
212,178,Mr Big Stuff,American folk revival,Jean Knight,,9f4CyQto-0E,0,1
213,179,Jenny from the Block,Latin pop,Jennifer Lopez,,dly6p4Fu5TE,2002,1
214,180,Crush,Traditional pop music,Jennifer Paige,,EIhSnaqou0I,0,1
216,181,Down On Me,Rhythm and blues,Jeremih,,AaXaig_43lU,0,1
215,181,I Did,Rhythm and blues,Jeremih,,Xt2fZdgvD6s,0,1
502,429,Sweetheart,Rhythm and blues,,Mariah Carey,vefhY2RfM_0,1998,2
217,182,Hands,Pop rock,Jewel,,AfsS3pIDBfw,0,1
43,423,Jiva Phez'kombhede,Afrobeat,Babes Wodumo ft. Duma Ntando & Mampintsha,,aRnYn9BhG8M,0,4
218,183,One Of Us,Electropop,Joan Osborne,,aDdOnl0bHO4,1995,3
219,184,Orchestral Suite No. 3,Chamber music,Johann Sebastian Bach,,eUtCC5VPwBs,0,4
220,185,Blink,Electro house,John Dahlback,,Bc99R-wKXGY,0,1
221,186,Imagine,Alternative rock,John Lennon,The Plastic Ono Band,VOgFZfRVaww,0,1
222,187,Personal jesus,Blues rock,Johnny cash,,jQcNiD0Z3MU,0,2
223,188,You Had Me,British blues,Joss Stone,,opwudiDgv1E,2004,1
224,189,La Camisa Negra,Soft rock,Juanes,,kRt2sRyup6A,0,1
226,190,A quoi ça sert,French pop,Julie Zenatti,,pvscM-UGj4M,2004,2
225,190,Princesse (Tango),French pop,Julie Zenatti,,XkJcvRqI7O8,2004,2
227,192,Cry Me A River,Rhythm and blues,Justin Timberlake,,DksSPZTZES0,0,1
228,193,Lottery,Rap music,K Camp,,gF8rsUYENgc,0,3
522,440,All My Life,Rhythm and blues,,,DXvMT_mVbqw,1998,1
229,194,Mwaka Moon,Rap music,Kalash,Damso,UPnMFUsKm8w,0,1
489,426,Eul'Vraie France,Rap music,,,Fy2VK7nBKhY,2020,1
230,195,Lambada,Pop rock,Kaoma,,iyLdoQGBchQ,0,5
231,196,Ice Me Out,Rap music,Kash Doll,,6Rj2IABk0eI,0,2
232,197,Whine Up,Electropop,Kat DeLuna,Elephant Man,jcMXZjYqIog,2007,2
233,198,Foundations,Indie pop,Kate Nash,,ryH5cga0yUI,2007,3
234,199,Wonderful Life,Soul blues,Katie Melua,,abGe6uM9Ias,2014,5
235,200,Crazy (Cover),Indie pop,Katie Noonan,,yOeelyS8LKs,0,5
236,201,I Kissed A Girl,Pop rock,Katy Perry,,tAp9BKosZXs,0,1
237,202,TiK ToK,Electropop,Ke$ha,,iP6XpLQM2Cs,2010,1
238,203,Somewhere Only We Know,Alternative rock,Keane,,Oextk-If8HQ,0,3
241,204,Bossy,Rhythm and blues,Kelis,Too $hort,SSgp-IIgr4I,2006,1
240,204,Trick Me,Rhythm and blues,Kelis,,zI339U6GS9s,2003,1
239,204,Milkshake,Rhythm and blues,Kelis,,6AwXKJoKJz4,2003,1
242,205,Breakaway,Pop rock,Kelly Clarkson,,c-3vPxKdj6o,2004,3
243,206,Bomba,Pop rock,King africa,,QlPS16NeBO0,0,1
244,207,Guedro,Rap music,Koba LaD,,diH1xNRyZ_o,0,1
245,208,Free Cool Pt. 2,Rap music,Kodak Black,,kwG1TazvD48,0,1
246,211,Get Down On It,Funk,Kool & The Gang,,qchPLaiKocI,0,1
247,212,Do Like That,Afrobeat,Korede Bello,,hJBi780qFas,0,1
248,213,Garçon,French pop,Koxie,,ythzoQih-XU,0,1
249,214,Can't Get You Out Of My Head,Electropop,Kylie Minogue,,c18441Eh_WE,0,1
250,215,Dernière danse,Rock and roll,Kyo,,aU_TQcyGkvY,0,1
254,216,Just Dance,Electropop,Lady Gaga,Colby O'Donis,2Abk1jAONjw,2008,1
253,216,Bad Romance,Electropop,Lady Gaga,,qrO4YZeyl0I,2009,1
252,216,Poker Face,Electropop,Lady Gaga,,bESGLojNYSo,2008,1
251,216,Telephone,Electropop,Lady GaGa,,KfSVnUvKyZ0,2009,1
255,217,He Say She Say,Rap music,Latto,,mFxAfsg-3r4,0,1
256,218,Stairway To Heaven,Rock and roll,Led Zeppelin,,QkF3oxziUI4,0,1
258,219,Bleeding Love,Pop rock,Leona Lewis,,Vzo-EL_62fQ,2012,1
257,219,Better in Time,Bitpop,Leona Lewis,,qSxyffSB7wA,2007,1
259,220,Freestyle,Freestyle rap,Lil Baby,,MHryuYVyHhk,0,1
260,221,Get Low,Rap music,Lil Jon,"The East Side Boyz,Busta Rhymes,Elephant Man",8cG0rYIwPzQ,0,1
261,222,6locc 6a6y,Rap music,Lil Loaded,,H3c0F3oGZ4I,0,1
262,223,Futsal Shuffle,Rap music,Lil Uzi Vert,,nwE_BsjBSUw,0,1
263,224,Lollipop,Rap music,Lil Wayne,,2IH8tNQAzSs,2008,1
266,225,On Me,Rap music,Lil Yachty,Young Thug,19kVq4Spk-Y,0,1
265,225,Get Dripped,Rap music,Lil Yachty,,T2cxhV-STPI,0,1
264,225,SaintLaurentYSL,Rap music,Lil Yachty,,YBlaiLwQGQA,0,1
267,227,Smile,Folk pop,Lily Allen,,0WxDrVUrSvI,2006,2
268,228,All Around the World,Electropop,Lisa Stansfield,,JVuuatjHGnY,1989,3
269,229,Good As Hell,Rhythm and blues,Lizzo,,SmbmeOgWsqE,0,2
270,230,Wasting My Young Years,Traditional pop music,London Grammar,,pkeDBwsIaZw,0,3
273,231,Je serai (ta meilleure amie),French pop,Lorie,,pOMmS27LY1g,2001,1
272,231,Sur un air latino,French pop,Lorie,,XHGkGE6b850,2003,2
271,231,J'ai besoin d'amour,French pop,Lorie,,2H0FCcUbt04,2002,1
274,232,Macarena,Disco,Los Del Rio,,zWaymcVmJ-A,0,2
275,233,Double Dutch,Rap music,Lud Foe X Z-Money,,raLWtowBHlI,0,1
276,234,Act A Fool,Rap music,Ludacris,,TA7gnSyuIik,0,1
277,235,Dance Dance Dance,Indie folk,Lykke Li,,modXbqbsAvs,0,3
278,236,Sweet Home Alabama,Alternative rock,Lynyrd Skynyrd,,-35W_FWCT9Q,0,4
279,237,U Can't Touch This,Rap music,M.C. Hammer,,otCpCn0l4Wo,0,1
280,238,Ante Up,Rap music,M.O.P.,,3MUGAxpI0Bc,0,4
281,239,Midnight City,Electro music,M83,,dX3k_QDnzHE,0,1
282,240,Kids,Electro music,MGMT,,fe4EK4HSPkI,0,1
283,241,Organe,Instrumental hip hop,MKL,,03ucz6a-kDs,0,1
284,242,I Try,Rhythm and blues,Macy Gray,,WEQ0l_m3Xm0,1999,3
285,244,Billets verts,Rap music,Maes,,G8hhrv7L-7w,0,2
286,245,Easy,Britpop,Mai Lan,,RwrET-rYuaM,0,5
287,248,Rendez-vous chez Fatimata,Salsa,Maravillas de Mali,Mory Kanté,SEMNC-kzwQU,0,5
510,427,Get Your Number,Rhythm and blues,,Jermaine Dupri,,2005,1
509,427,Don't Forget About Us,Rhythm and blues,,,8tZkzL4j3BU,2005,1
508,427,Bye Bye,Rhythm and blues,,,UqfLVDIZcP8,2008,1
506,427,Shake It Off,Rhythm and blues,,,jZVdDl_asYY,2005,1
505,427,Touch My Body,Rhythm and blues,,,9b8erWuBA44,2008,2
499,427,Boy (I Need You),Rhythm and blues,,Jay-Z,E9rk1e1T_po,2002,1
498,427,Honey,Rhythm and blues,,,w3KOowB4k_k,1997,1
497,427,Butterfly,Rhythm and blues,,,stcdNj0SANw,1997,1
496,427,Hero,Rhythm and blues,,,0IA3ZvCkRkQ,1993,1
495,427,Obsessed,Rhythm and blues,,,H1Yt0xJKDY8,2009,2
494,427,Heartbreaker,Rhythm and blues,,,kMCGvtlL4fw,1999,1
493,427,My All,Rhythm and blues,,,mIhI23gBBPQ,1997,1
492,427,Always Be My Baby,Rhythm and blues,,,LfRNRymrv9k,1995,1
491,427,We Belong Together,Rhythm and blues,,,0habxsuXW4g,2005,1
490,427,All I Want for Christmas Is You,Rhythm and blues,,,aAkMkVFwAoo,1994,1
289,249,Moves Like Jagger,Pop rock,Maroon 5,,0N9NOEindHc,0,1
288,249,Animals,Pop rock,Maroon 5,,7BJ3ZXpserc,0,1
291,250,Let's Get It On,Soul,Marvin Gaye,,x6QZn9xiuOE,0,1
290,250,Got To Give It Up,Soul,Marvin Gaye,,fp7Q1OAzITM,0,1
293,251,Paradise Circus,Electro music,Massive Attack,,jEgX64n3T7g,0,3
292,251,Teardrop,Electro house,Massive Attack,,u7K72X4eo_s,0,4
520,438,Bitch,Electropop,,,_ivt_N2Zcts,1997,3
294,252,I Don't Want To Grow Up,Indie folk,Mesparrow,,vWKqVan9VS8,0,1
529,443,Remember The Time,Rhythm and blues,,,LeiFF0gvqcc,1992,1
