artist,name,genre,featured_artists,youtube_id,year,difficulty
Foxy Brown,Big Bad Mama,Rhythm and blues,nan,5hJ1E7JFw64,1997,3
Fugees,Killing Me Softly With His Song,Rhythm and blues,nan,oKOtzIo-uYw,1996,2
Future,Patek Water,Rap music,"Young Thug,Offset",tT5TDmiAY78,2017,1
Future,Mask Off,Rap music,nan,xvZqHgFz51I,2017,1
GS Boyz,Stanky Legg,Rap music,nan,ewufRwrayTI,2008,1
Gabriella Cilmi,Sweet About Me,British blues,nan,qvuyYj5ROmk,2008,4
Gamma,Santorini,Bouyon,,dhg3qcyDj90,2022,1
Georges Brassens,La guerre de 14-18,French pop,nan,l2F5qaHzkj0,1955,2
GloRilla,WHATCHU KNO ABOUT ME,Rap music,nan,Py9S2bD0RZQ,2024,1
Gotan Project,Época,Europop,nan,Jc7Lt5FLRiA,2001,1
Gunna,Idk Why,Rap music,nan,nqxXeJen7S4,2019,1
Gunna,Sold Out Dates,Rap music,Lil Baby,wp6oQlb--Ks,2019,1
Gwen Stefani,4 In The Morning,Electropop,nan,_OLUSELxFok,2006,3
Gwen Stefani,Hollaback Girl,Electropop,nan,Kgjkth6BRRY,2004,1
Gwen Stefani,The Sweet Escape,Electropop,Akon,O0lf_fE3HwA,2006,1
Gwen Stefani,Rich Girl,Electropop,Eve,9rlNpWYQunY,2004,1
Handel,Arrival of the Queen of Sheba,Symphony,nan,KDCcqczz-vY,1749,5
Handel,"Music for the Royal Fireworks, HWV 351: IV. La Réjouissance",Symphony,nan,J_e9BUGVc08,1749,4
Helmut Fritz,Ca m'énerve,Techno,nan,4mNDYWhRSaw,2009,1
Hollow Coves,These Memories,Indie pop,,RDj6Keg3XKKjM,2017,5
HollyG,Bandit ( Oui Oui Oui ),Bouyon,nan,186evizDXY8,2021,1
Hooverphonic,Mad About You,Indie pop,nan,xVKGXgHDMvQ,2000,4
Imogen Heap,Hide And Seek,Indie pop,nan,UYIAfiVGluk,2005,5
Inez,Menak wla meni,Arab pop,nan,ofgYA_H1dZU,0,1
Innoss'B,Olandi,Afrobeat,nan,QLu6yW56ALg,2019,5
Innoss'B,Yope,Afrobeat,Diamond Platnumz,ebZ7Ng1okCg,2019,3
Inside Llewyn Davis OST,Five Hundred Miles,American folk revival,nan,T9yPd5nQJNc,2013,5
Jabberwocky,Photomaton,Electroacoustic,nan,BJWoFagy4Bc,2011,5
Jain,Makeba,Indie pop,nan,59Q_lhgGANc,2015,3
Jamelia,Superstar,Rhythm and blues,nan,-P2yQ5QJApo,2003,1
James Bay,Hold Back The River,Folk pop,nan,mqiH0ZSkM9I,2014,4
James Blake,Life Round Here,Electropop,nan,SlOmdyH_7Os,2013,5
James Brown,It's A Man's Man's Man's World,Soul blues,,H77fRz1rybs,1965,2
James Brown,Sex Machine,Soul,nan,JOD-M7WZkZQ,1970,1
Janet Jackson,All For You,Rhythm and blues,nan,J551f-TyqjY,2001,1
Janet Jackson,Doesn't Really Matter,Rhythm and blues,nan,ZGo4WebNIjM,2000,2
Janet Jackson,Runaway,Rhythm and blues,nan,AtoyLKHmy1c,1995,1
Janet Jackson,Together Again,Rhythm and blues,nan,7SXKHiPQPhk,1997,1
Jason Mraz,I'm Yours,Folk pop,nan,EkHTsc9PU2A,2008,1
Jason Mraz,Lucky,Folk pop,Colbie Caillat,acvIVA9-FMQ,2009,2
Jean Knight,Mr Big Stuff,American folk revival,nan,9f4CyQto-0E,1971,1
Jeff Buckley,Hallelujah,Soul blues,,y8AWFf7EAc4,2007,1
Jennifer Lopez,Jenny from the Block,Latin pop,nan,dly6p4Fu5TE,2002,1
Jennifer Paige,Crush,Traditional pop music,nan,EIhSnaqou0I,1998,1
Jeremih,I Did,Rhythm and blues,nan,Xt2fZdgvD6s,2015,1
Jeremih,Down On Me,Rhythm and blues,nan,AaXaig_43lU,2010,1
Jermaine Dupri,Sweetheart,Rhythm and blues,Mariah Carey,vefhY2RfM_0,1998,2
Jessie J,Bang Bang,Dance-pop,nan,0HDdjwpPM3Y,2014,2
Jevetta Steele,I'm Calling You,Soul,,oCLpLWcX2cg,1994,2
Jewel,Hands,Pop rock,nan,AfsS3pIDBfw,1998,1
Jiva Phez'kombhede,Jiva Phez'kombhede,Afrobeat,nan,aRnYn9BhG8M,0,4
Joan Jett,I love Rock & Roll,Rock and roll,,iC8oP4Z_xPw,1975,1
Joan Osborne,One Of Us,Electropop,nan,aDdOnl0bHO4,1995,3
Johann Sebastian Bach,Orchestral Suite No. 3,Chamber music,nan,eUtCC5VPwBs,1730,4
Johann Sebastian Bach,Cantata Ich steh mit einem Fuss im Grabe BWV 156,Chamber music,nan,drFcH_WwK7Y,1729,5
Johann Sebastian Bach,Jesus bleibet meine Freude from Cantata BWV 147,Cantata,nan,GWtoeYznx8E,1723,4
John Dahlback,Blink,Electro house,nan,Bc99R-wKXGY,2011,1
John Lennon,Imagine,Alternative rock,The Plastic Ono Band,VOgFZfRVaww,1971,1
Johnny cash,Personal jesus,Blues rock,nan,jQcNiD0Z3MU,2000,2
Joss Stone,You Had Me,British blues,nan,opwudiDgv1E,2004,1
Joé Dwèt Filé,4 Kampé,Konpa,nan,Srvt_6up-0o,2024,1
Juanes,La Camisa Negra,Soft rock,,kRt2sRyup6A,2004,3
Julie Zenatti,Princesse (Tango),French pop,nan,XkJcvRqI7O8,2004,2
Julie Zenatti,A quoi ça sert,French pop,nan,pvscM-UGj4M,2004,2
Julien Doré,Paris-Seychelles,French pop,,cmE_aahc448,2013,2
Julien Doré,Le Lac,French pop,,9UXSWGsjAUQ,2016,2
Justin Bieber,Sorry,Traditional pop music,nan,fRh_vgS2dFE,2015,1
Justin Bieber,Baby,Traditional pop music,nan,kffacxfA7G4,2010,1
Justin Timberlake,Cry Me A River,Rhythm and blues,nan,DksSPZTZES0,2002,1
K Camp,Lottery,Rap music,nan,gF8rsUYENgc,2015,3
K-Ci & JoJo,All My Life,Rhythm and blues,nan,DXvMT_mVbqw,1998,1
Kalash,Chanson du Mwaka,Dancehall,,jpKxCyyfxRA,2014,2
Kalash,Protocole,Dancehall,,BUMudeRoTHU,2023,1
Kalash,Mwaka Moon,Rap music,Damso,UPnMFUsKm8w,2018,1
Kalash,Laptop,Dancehall,nan,X0GWC5HdFWc,2022,1
Kamini,Eul'Vraie France,Rap music,nan,Fy2VK7nBKhY,2020,1
Kaoma,Lambada,Pop rock,nan,iyLdoQGBchQ,1989,5
Kash Doll,Ice Me Out,Rap music,nan,6Rj2IABk0eI,2018,2
Kat DeLuna,Whine Up,Electropop,Elephant Man,jcMXZjYqIog,2007,2
Kate Nash,Foundations,Indie pop,nan,ryH5cga0yUI,2007,3
Katie Melua,Wonderful Life,Soul blues,nan,abGe6uM9Ias,2014,5
Katie Noonan,Crazy (Cover),Indie pop,nan,yOeelyS8LKs,2007,5
Katy Perry,Firework,Pop rock,,F57P9C4SAW4,2010,1
Katy Perry,California Gurls,Pop rock,,F57P9C4SAW4,2010,1
Katy Perry,Hot N Cold,Pop rock,,kTHNpusq654,2008,1
Katy Perry,Last Friday Night (T.G.I.F.),Synthpop,,KlyXNRrsk4A,2011,1
Katy Perry,I Kissed A Girl,Pop rock,nan,tAp9BKosZXs,2008,1
Katy Perry,Swish Swish,Pop rock,,iGk5fR-t5AU,2017,1
Ke$ha,TiK ToK,Electropop,nan,iP6XpLQM2Cs,2010,1
Keane,Somewhere Only We Know,Alternative rock,nan,Oextk-If8HQ,2004,3
