name,birthname,date_of_birth,spotify_id,genre,spotify_avatar,wikipedia_page
Jennifer Lopez,Jennifer Lynn Lopez,1969-07-24,2DlGxzQSjYe5N6G9nkYghR,,https://i.scdn.co/image/ab6761610000e5ebdc125248f01efbffd4efaaf4,
Jennifer Paige,Jennifer Scoggins,1973-09-03,26PDtWYDJ1KD0brukKsJH1,,https://i.scdn.co/image/ab6761610000e5eb6cb06b64535283ceab01d414,
Jewel,Jewel Kilcher,1974-05-23,6FbDoZnMBTdhhhLuJBOOqP,,https://i.scdn.co/image/ab6761610000e5eb75a955fe415fd460bf1bf0f2,
Joan Osborne,Joan Elizabeth Osborne,1962-07-08,0djV4iaxhNfYWpH60ia85o,,https://i.scdn.co/image/ab6761610000e5ebe521dfff71ae1299e3a02e26,
Johann Sebastian Bach,,,5aIqB5nVVvmFsvSdExz408,,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88,
John Dahlback,,1985-10-13,15xvsJMf8phaNa1LYvL9Qv,,https://i.scdn.co/image/ab6761610000e5ebe324c01d3fb6b2b5af61f271,
John Lennon,John Winston Lennon,1940-01-09,2s4tjL6W3qrblOe0raIzwJ,,https://i.scdn.co/image/ab6761610000e5eb2cfed18861c121d7cfe9ee96,https://fr.wikipedia.org/wiki/John_Lennon
Juanes,Juan Esteban Aristizábal Vásquez,1972-08-09,0UWZUmn7sybxMCqrw9tGa7,,https://i.scdn.co/image/ab6761610000e5eb330d24db775125dcec2c7b4c,
Julie Zenatti,,1981-01-05,3CoYG5pUuCzGnXzPoOkaNY,,https://i.scdn.co/image/ab6761610000e5ebc623cbf85c3d91903107733f,https://fr.wikipedia.org/wiki/Julie_Zenatti
Julien Doré,,1982-07-07,6jStlKLflTMUN6BajxrNlj,,https://i.scdn.co/image/ab6761610000e5eba7475b5895e9a1d3800d60e4,
Kaoma,,,1LsXqDdYVyONhrjAORENbu,,https://i.scdn.co/image/ab67616d0000b27370a92681f8aff88714cb0296,
Kat DeLuna,Kathleen Emperatriz DeLuna,1987-11-26,0bOlhT8OcoC1lCpN69NcFP,,https://i.scdn.co/image/ab6761610000e5ebaadbf3efa3011c328f847a26,
Kate Nash,Kate Marie Nash,1987-07-06,5vBKu1igxFo6g1sHADkIdg,,https://i.scdn.co/image/ab6761610000e5ebd12d6e0c00e078cf73744d9a,
Katie Noonan,,,4ch5DvHFpBlRtZAERVcfHr,,https://i.scdn.co/image/ab6761610000e5ebdff17ae1816023449961e44a,
Ke$ha,Kesha Rose Sebert,,6LqNN22kT3074XbTVUrhzX,,https://i.scdn.co/image/ab6761610000e5eb2ac07249400857d8b16dc17a,
Keane,,,53A0W3U0s8diEn9RhXQhVz,,https://i.scdn.co/image/ab6761610000e5eb92f6dba2793814a1c5aa8d35,
Kelly Clarkson,Kelly Brianne Clarkson,1982-04-24,3BmGtnKgCSGYIUhmivXKWX,,https://i.scdn.co/image/ab6761610000e5eb20b8c7d395994dc81a85f291,
King africa,,,2vAu3qMgOvtukijgajuXhM,,https://i.scdn.co/image/ab6761610000e5ebaabb411dd2d09c0f6f7c5ed4,
Koffee,Mikayla Simpson,2000-02-16,1gWjcmBsveEYMxOZ0VRi32,,https://i.scdn.co/image/ab6761610000e5ebcd0a7077824ca67fe4ce2850,
Koffi Olomide,Antoine  Christophe Agbepa Mumba[2],1956-07-13,7e14Bh8oZXNRmZxjhhTARb,,https://i.scdn.co/image/ab6761610000e5eb8e4b5946ca3ca42359d9b5ee,
Kool & The Gang,,,3VNITwohbvU5Wuy5PC6dsI,,https://i.scdn.co/image/ab6761610000e5eb69287c3f1b150bbead642499,
Korede Bello,Korede Bello,1996-02-29,2TwUVWFJs4LD0lOBbJXnNa,,https://i.scdn.co/image/ab6761610000e5ebb1c20eed912deca20590da98,
Koxie,Laure Cohen,1977-02-26,54eDBxDgfcmO6jqlKg0XLb,,https://i.scdn.co/image/ab6761610000e5ebae7186179384c1f51aa2c14e,
Kylie Minogue,Kylie Ann Minogue,1968-05-28,4RVnAU35WRWra6OZ3CbbMA,,https://i.scdn.co/image/ab6761610000e5eb9a8ae4546aa5fb59aac60262,
Kyo,,,15uQG9wIjrfNYm9rHcEFwS,,https://i.scdn.co/image/ab6761610000e5eb9ab4bce8ed6a72ab17b42ffc,
Led Zeppelin,,,36QJpDe2go2KgaRleHCDTp,,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,
Leona Lewis,Leona Louise Lewis,1985-04-03,5lKZWd6HiSCLfnDGrq9RAm,,https://i.scdn.co/image/ab6761610000e5ebe9cf3862b8027eb5b9f6b831,
Lily Allen,Lily Rose Beatrice Allen,1985-05-02,13saZpZnCDWOI9D4IJhp1f,,https://i.scdn.co/image/ab6761610000e5eb4816f55146bf03d294005165,
Lisa Stansfield,Lisa Jane Stansfield,1966-04-11,2jS7I1u7BpgWT9ssG62Zr1,,https://i.scdn.co/image/ab6761610000e5ebf5030c0934958ec99d386bc4,
London Grammar,,,3Bd1cgCjtCI32PYvDC3ynO,,https://i.scdn.co/image/ab6761610000e5eb03fca863ba2e1e379ad19998,
Los Del Rio,,,2JXn03fudjyRkQ1Ye9f5rk,,https://i.scdn.co/image/ab6761610000e5eb80db2204010a200f07de58dc,
Lykke Li,Li Lykke Timotej Svensson Zachrisson,1986-03-18,6oBm8HB0yfrIc9IHbxs6in,,https://i.scdn.co/image/ab6761610000e5eb0bf8a86c8e3a34bb4934abb7,
Lynyrd Skynyrd,,,4MVyzYMgTwdP7Z49wAZHx0,,https://i.scdn.co/image/ab6761610000e5eb451eb07ddc6e68d3e474c2bf,
M83,,,63MQldklfxkjYDoUE4Tppz,,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6,
MGMT,,,0SwO7SWeDHJijQ3XNS7xEE,,https://i.scdn.co/image/ab6761610000e5eb9dccdc8f4087cbe2bdedc9d3,
MadeinTYO,Malcolm Jamaal Davis,1992-04-12,5SyGEPymt1G2uto47tVWvZ,,https://i.scdn.co/image/ab6761610000e5eba355df72cb79fb74616b7e23,
Mai Lan,Mai Lan Chapiron,,2mDibyYe7k76MBMSZDTGo1,,https://i.scdn.co/image/ab67616d0000b273ff63c911808bdaffd5db8d7f,
Major Lazer,,,738wLrAtLtCtFOLvQBXOXp,,https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97,
Mampintsha,,,2XyZibBnLI6ciT5J5ynkUK,,https://i.scdn.co/image/ab67616d0000b2733909c816b1a90b068a9c0635,
